,first,last,employer,title,name,Fullname,start_at_this,school_current,title_current,gender,come_from,move_to,department,website,cv,phd,phd_year,master,master_year,bachelor,bachelor_year,career,postdoc,Unnamed: 21,id
1985,Rafael,Davalos,Virginia Polytechnic Institute and State University,Associate Professor,Rafael V. Davalos,Rafael Davalos,,,,,,,.,,,,,,,,,,,,['AUTHOR_ID:6701641687']
1986,Raffaella,Vita,Virginia Polytechnic Institute and State University,Assistant Professor,Raffaella De Vita,Raffaella Vita,,,,,,,.,,,,,,,,,,,,"['AUTHOR_ID:57203103409', 'AUTHOR_ID:35336541500', 'AUTHOR_ID:57208670332']"
1987,Raghu,Pasupathy,Virginia Polytechnic Institute and State University,Associate Professor,Raghu Pasupathy,Raghu Pasupathy,,,,,,,.,,,,,,,,,,,,['AUTHOR_ID:24438347400']
1988,Rahul,Kulkarni,Virginia Polytechnic Institute and State University,Assistant Professor,Rahul V. Kulkarni,Rahul Kulkarni,,,,,,,.,,,,,,,,,,,,['AUTHOR_ID:7201509788']
1989,Raji,Soni,Virginia Polytechnic Institute and State University,Assistant Professor,Raji S. Soni,Raji Soni,,,,,,,.,,,,,,,,,,,,
1990,Rajiv,Kapur,Virginia Polytechnic Institute and State University,Research Professor,Rajiv Kapur,Rajiv Kapur,,,,,,,.,,,,,,,,,,,,
1991,Rakesh,Kapania,Virginia Polytechnic Institute and State University,Professor and Eminent Scholar,Rakesh K. Kapania,Rakesh Kapania,,,,,,,.,,,,,,,,,,,,['AUTHOR_ID:35608776000']
1992,Ralph,Badinelli,Virginia Polytechnic Institute and State University,Professor,Ralph D. Badinelli,Ralph Badinelli,,,,,,,.,,,,,,,,,,,,['AUTHOR_ID:6602652331']
1993,Ramaswamy,Raghavan,Virginia Polytechnic Institute and State University,Professor,Ramaswamy S. Raghavan,Ramaswamy Raghavan,,,,,,,.,,,,,,,,,,,,['AUTHOR_ID:56354331800']
1994,Rami,Dalloul,Virginia Polytechnic Institute and State University,Associate Professor,Rami A. Dalloul,Rami Dalloul,,,,,,,.,,,,,,,,,,,,['AUTHOR_ID:6602602528']
1995,Ramon,Arancibia,Virginia Polytechnic Institute and State University,Assistant Professor,Ramon Arancibia,Ramon Arancibia,,,,,,,.,,,,,,,,,,,,['AUTHOR_ID:55901566800']
1996,Ran,Jin,Virginia Polytechnic Institute and State University,Assistant Professor,Ran Jin,Ran Jin,,,,,,,.,,,,,,,,,,,,['AUTHOR_ID:23389079600']
1997,Rana,Ashkar,Virginia Polytechnic Institute and State University,Assistant Professor,Rana Ashkar,Rana Ashkar,,,,,,,.,,,,,,,,,,,,['AUTHOR_ID:36193682400']
1998,Randel,Dymond,Virginia Polytechnic Institute and State University,Associate Professor,Randel L. Dymond,Randel Dymond,,,,,,,.,,,,,,,,,,,,['AUTHOR_ID:8288804500']
1999,Randolph,Wynne,Virginia Polytechnic Institute and State University,Professor,Randolph H. Wynne,Randolph Wynne,,,,,,,.,,,,,,,,,,,,['AUTHOR_ID:7006200031']
2000,Randolph,Ward,Virginia Polytechnic Institute and State University,Professor,Randolph W. Ward,Randolph Ward,,,,,,,.,,,,,,,,,,,,
2001,Ranga,Pitchumani,Virginia Polytechnic Institute and State University,Professor and Eminent Scholar,Ranga Pitchumani,Ranga Pitchumani,,,,,,,.,,,,,,,,,,,,['AUTHOR_ID:7005746042']
2002,Raquel,Hontecillas-Magarzo,Virginia Polytechnic Institute and State University,Research Assistant Professor,Raquel Hontecillas-Magarzo,Raquel Hontecillas-Magarzo,,,,,,,.,,,,,,,,,,,,
2003,Ravi,Tandon,Virginia Polytechnic Institute and State University,Research Assistant Professor,Ravi Tandon,Ravi Tandon,,,,,,,.,,,,,,,,,,,,['AUTHOR_ID:24725563600']
2004,Raymond,Major,Virginia Polytechnic Institute and State University,Associate Professor,Raymond L. Major,Raymond Major,,,,,,,.,,,,,,,,,,,,['AUTHOR_ID:7004446604']
2005,Rebecca,Funk,Virginia Polytechnic Institute and State University,Assistant Professor,Rebecca A. Funk,Rebecca Funk,,,,,,,.,,,,,,,,,,,,['AUTHOR_ID:12242636100']
2006,Rebecca,Cockrum,Virginia Polytechnic Institute and State University,Assistant Professor,Rebecca Cockrum,Rebecca Cockrum,,,,,,,.,,,,,,,,,,,,['AUTHOR_ID:34869412900']
2007,Rebecca,Miller,Virginia Polytechnic Institute and State University,Prof - Assistant Professor,Rebecca K. Miller,Rebecca Miller,,,,,,,.,,,,,,,,,,,,['AUTHOR_ID:39962205700']
2008,Rebecca,Splan,Virginia Polytechnic Institute and State University,Associate Professor,Rebecca K. Splan,Rebecca Splan,,,,,,,.,,,,,,,,,,,,['AUTHOR_ID:6602634169']
2009,Reed,Kennedy,Virginia Polytechnic Institute and State University,Associate Professor,Reed Kennedy,Reed Kennedy,,,,,,,.,,,,,,,,,,,,
2010,Reid,Tyson,Virginia Polytechnic Institute and State University,Associate Professor,Reid Tyson,Reid Tyson,,,,,,,.,,,,,,,,,,,,"['AUTHOR_ID:7004538252', 'AUTHOR_ID:35082737400']"
2011,Reinhard,Laubenbacher,Virginia Polytechnic Institute and State University,Professor,Reinhard C. Laubenbacher,Reinhard Laubenbacher,,,,,,,.,,,,,,,,,,,,['AUTHOR_ID:25031887500']
2012,Renee,Leclair,Virginia Polytechnic Institute and State University,Associate Professor,Renee Leclair,Renee Leclair,,,,,,,.,,,,,,,,,,,,
2013,Renee,Boyer,Virginia Polytechnic Institute and State University,Assistant Professor,Renee R. Boyer,Renee Boyer,,,,,,,.,,,,,,,,,,,,['AUTHOR_ID:16506037800']
2014,Rengasayee,Veeraraghavan,Virginia Polytechnic Institute and State University,Research Assistant Professor,Rengasayee Veeraraghavan,Rengasayee Veeraraghavan,,,,,,,.,,,,,,,,,,,,['AUTHOR_ID:17136110200']
2015,Reza,Barkhi,Virginia Polytechnic Institute and State University,Associate Professor ES CY,Reza Barkhi,Reza Barkhi,,,,,,,.,,,,,,,,,,,,['AUTHOR_ID:6603581477']
2016,Reza,Mirzaeifar,Virginia Polytechnic Institute and State University,Assistant Professor,Reza Mirzaeifar,Reza Mirzaeifar,,,,,,,.,,,,,,,,,,,,['AUTHOR_ID:15750875300']
2017,Ricardo,Burdisso,Virginia Polytechnic Institute and State University,Professor,Ricardo A. Burdisso,Ricardo Burdisso,,,,,,,.,,,,,,,,,,,,['AUTHOR_ID:7003507805']
2018,Richard,Walker,Virginia Polytechnic Institute and State University,Associate Professor,Richard A. Walker,Richard Walker,,,,,,,.,,,,,,,,,,,,"['AUTHOR_ID:55605776634', 'AUTHOR_ID:55605776653']"
2019,Richard,Winett,Virginia Polytechnic Institute and State University,Professor and Eminent Scholar,Richard A. Winett,Richard Winett,,,,,,,.,,,,,,,,,,,,['AUTHOR_ID:7005010246']
2020,Richard,Knapp,Virginia Polytechnic Institute and State University,Administrative - Professor,Richard B. Knapp,Richard Knapp,,,,,,,.,,,,,,,,,,,,
2021,Richard,Blythe,Virginia Polytechnic Institute and State University,Administrative - Professor,Richard Blythe,Richard Blythe,,,,,,,.,,,,,,,,,,,,
2022,Richard,Benson,Virginia Polytechnic Institute and State University,Administrative - Professor,Richard C. Benson,Richard Benson,,,,,,,.,,,,,,,,,,,,
2023,Richard,Cole,Virginia Polytechnic Institute and State University,Associate Professor,Richard C. Cole,Richard Cole,,,,,,,.,,,,,,,,,,,,
2024,Richard,Rich,Virginia Polytechnic Institute and State University,Professor,Richard C. Rich,Richard Rich,,,,,,,.,,,,,,,,,,,,['AUTHOR_ID:7101705895']
2025,Richard,Gandour,Virginia Polytechnic Institute and State University,Professor,Richard D. Gandour,Richard Gandour,,,,,,,.,,,,,,,,,,,,['AUTHOR_ID:7003472414']
2026,Richard,Law,Virginia Polytechnic Institute and State University,Professor,Richard D. Law,Richard Law,,,,,,,.,,,,,,,,,,,,['AUTHOR_ID:7201503342']
2027,Richard,Parsons,Virginia Polytechnic Institute and State University,Associate Professor,Richard D. Parsons,Richard Parsons,,,,,,,.,,,,,,,,,,,,
2028,Richard,E.,Virginia Polytechnic Institute and State University,Professor,Richard E. Buehrer,Richard E. Buehrer,,,,,,,.,,,,,,,,,,,,
2029,Richard,Sorensen,Virginia Polytechnic Institute and State University,Administrative - Professor,Richard E. Sorensen,Richard Sorensen,,,,,,,.,,,,,,,,,,,,
2030,Richard,Veilleux,Virginia Polytechnic Institute and State University,Professor and Eminent Scholar,Richard E. Veilleux,Richard Veilleux,,,,,,,.,,,,,,,,,,,,['AUTHOR_ID:7004595949']
2031,Richard,Wokutch,Virginia Polytechnic Institute and State University,Professor and Eminent Scholar,Richard E. Wokutch,Richard Wokutch,,,,,,,.,,,,,,,,,,,,['AUTHOR_ID:8431186100']
2032,Richard,Helm,Virginia Polytechnic Institute and State University,Associate Professor,Richard F. Helm,Richard Helm,,,,,,,.,,,,,,,,,,,,"['AUTHOR_ID:35515368700', 'AUTHOR_ID:57211553584']"
2033,Richard,Shryock,Virginia Polytechnic Institute and State University,Associate Professor,Richard L. Shryock,Richard Shryock,,,,,,,.,,,,,,,,,,,,['AUTHOR_ID:37106740400']
2034,Richard,Buehrer,Virginia Polytechnic Institute and State University,Associate Professor,Richard M. Buehrer,Richard Buehrer,,,,,,,.,,,,,,,,,,,,['AUTHOR_ID:7003954870']
2035,Richard,Goff,Virginia Polytechnic Institute and State University,Associate Professor ES CY,Richard M. Goff,Richard Goff,,,,,,,.,,,,,,,,,,,,"['AUTHOR_ID:7005516336', 'AUTHOR_ID:55184281100', 'AUTHOR_ID:57216017783']"
2036,Richard,Masters,Virginia Polytechnic Institute and State University,Assistant Professor,Richard Masters,Richard Masters,,,,,,,.,,,,,,,,,,,,
2037,Richard,Rateau,Virginia Polytechnic Institute and State University,Assistant Professor,Richard Rateau,Richard Rateau,,,,,,,.,,,,,,,,,,,,
2038,Richard,Vari,Virginia Polytechnic Institute and State University,Administrative - Professor,Richard Vari,Richard Vari,,,,,,,.,,,,,,,,,,,,
2039,Richey,Davis,Virginia Polytechnic Institute and State University,Professor,Richey M. Davis,Richey Davis,,,,,,,.,,,,,,,,,,,,['AUTHOR_ID:55250598400']
2040,Rickie,Rudd,Virginia Polytechnic Institute and State University,Professor and Eminent Scholar,Rickie D. Rudd,Rickie Rudd,,,,,,,.,,,,,,,,,,,,
2041,Rita,Klein,Virginia Polytechnic Institute and State University,Prof - Assistant Professor,Rita F. Klein,Rita Klein,,,,,,,.,,,,,,,,,,,,
2042,Robert,Canfield,Virginia Polytechnic Institute and State University,Professor,Robert A. Canfield,Robert Canfield,,,,,,,.,,,,,,,,,,,,['AUTHOR_ID:7102174639']
2043,Robert,Mcgrath,Virginia Polytechnic Institute and State University,Assistant Professor,Robert A. Mcgrath,Robert Mcgrath,,,,,,,.,,,,,,,,,,,,
2044,Robert,Hull,Virginia Polytechnic Institute and State University,Professor,Robert B. Hull,Robert Hull,,,,,,,.,,,,,,,,,,,,"['AUTHOR_ID:57203213820', 'AUTHOR_ID:7202803384']"
2045,Robert,Moore,Virginia Polytechnic Institute and State University,Professor,Robert B. Moore,Robert Moore,,,,,,,.,,,,,,,,,,,,"['AUTHOR_ID:35594887700', 'AUTHOR_ID:55484227600', 'AUTHOR_ID:56300431800', 'AUTHOR_ID:55484240200', 'AUTHOR_ID:57219176306']"
2046,Robert,Siegle,Virginia Polytechnic Institute and State University,Professor,Robert B. Siegle,Robert Siegle,,,,,,,.,,,,,,,,,,,,
2047,Robert,Williams,Virginia Polytechnic Institute and State University,Associate Professor,Robert C. Williams,Robert Williams,,,,,,,.,,,,,,,,,,,,"['AUTHOR_ID:7409610413', 'AUTHOR_ID:57210950564', 'AUTHOR_ID:57203774483', 'AUTHOR_ID:7409606344', 'AUTHOR_ID:55683740800']"
2048,Robert,Chafin,Virginia Polytechnic Institute and State University,Assistant Professor,Robert D. Chafin,Robert Chafin,,,,,,,.,,,,,,,,,,,,
2049,Robert,Grisso,Virginia Polytechnic Institute and State University,Professor,Robert D. Grisso,Robert Grisso,,,,,,,.,,,,,,,,,,,,['AUTHOR_ID:7003950715']
2050,Robert,Oliver,Virginia Polytechnic Institute and State University,Assistant Professor,Robert D. Oliver,Robert Oliver,,,,,,,.,,,,,,,,,,,,"['AUTHOR_ID:55823275000', 'AUTHOR_ID:57214651617']"
2051,Robert,Davidson,Virginia Polytechnic Institute and State University,Assistant Professor,Robert Davidson,Robert Davidson,,,,,,,.,,,,,,,,,,,,['AUTHOR_ID:55823452400']
2052,Robert,James,Virginia Polytechnic Institute and State University,Professor,Robert E. James,Robert James,,,,,,,.,,,,,,,,,,,,"['AUTHOR_ID:35567817400', 'AUTHOR_ID:7401670092']"
2053,Robert,Mcduffie,Virginia Polytechnic Institute and State University,Associate Professor,Robert F. Mcduffie,Robert Mcduffie,,,,,,,.,,,,,,,,,,,,
2054,Robert,Hicok,Virginia Polytechnic Institute and State University,Associate Professor,Robert G. Hicok,Robert Hicok,,,,,,,.,,,,,,,,,,,,
2055,Robert,Magee,Virginia Polytechnic Institute and State University,Assistant Professor,Robert G. Magee,Robert Magee,,,,,,,.,,,,,,,,,,,,['AUTHOR_ID:23392939500']
2056,Robert,Parker,Virginia Polytechnic Institute and State University,Professor and Eminent Scholar,Robert G. Parker,Robert Parker,,,,,,,.,,,,,,,,,,,,"['AUTHOR_ID:35262773300', 'AUTHOR_ID:56699299700']"
2057,Robert,Gourdie,Virginia Polytechnic Institute and State University,Professor,Robert Gourdie,Robert Gourdie,,,,,,,.,,,,,,,,,,,,['AUTHOR_ID:7004159824']
2058,Robert,Leonard,Virginia Polytechnic Institute and State University,Professor,Robert H. Leonard,Robert Leonard,,,,,,,.,,,,,,,,,,,,"['AUTHOR_ID:7202184830', 'AUTHOR_ID:57197363754', 'AUTHOR_ID:57189258410']"
2059,Robert,Sturges,Virginia Polytechnic Institute and State University,Professor,Robert H. Sturges,Robert Sturges,,,,,,,.,,,,,,,,,,,,['AUTHOR_ID:7006217277']
2060,Robert,White,Virginia Polytechnic Institute and State University,Associate Professor,Robert H. White,Robert White,,,,,,,.,,,,,,,,,,,,['AUTHOR_ID:7501422295']
2061,Robert,Hildebrand,Virginia Polytechnic Institute and State University,Assistant Professor,Robert Hildebrand,Robert Hildebrand,,,,,,,.,,,,,,,,,,,,['AUTHOR_ID:57205778809']
2062,Robert,Bodnar,Virginia Polytechnic Institute and State University,Professor and Eminent Scholar,Robert J. Bodnar,Robert Bodnar,,,,,,,.,,,,,,,,,,,,['AUTHOR_ID:7102445064']
2063,Robert,Bush,Virginia Polytechnic Institute and State University,Professor,Robert J. Bush,Robert Bush,,,,,,,.,,,,,,,,,,,,['AUTHOR_ID:7201445488']
2064,Robert,Dunay,Virginia Polytechnic Institute and State University,Professor and Eminent Scholar,Robert J. Dunay,Robert Dunay,,,,,,,.,,,,,,,,,,,,['AUTHOR_ID:53563122700']
2065,Robert,Harvey,Virginia Polytechnic Institute and State University,Associate Professor,Robert J. Harvey,Robert Harvey,,,,,,,.,,,,,,,,,,,,"['AUTHOR_ID:25949977400', 'AUTHOR_ID:56353930400']"
2066,Robert,Tracy,Virginia Polytechnic Institute and State University,Professor,Robert J. Tracy,Robert Tracy,,,,,,,.,,,,,,,,,,,,['AUTHOR_ID:7102382589']
2067,Robert,Smith,Virginia Polytechnic Institute and State University,Administrative - Professor,Robert L. Smith,Robert Smith,,,,,,,.,,,,,,,,,,,,"['AUTHOR_ID:56141124800', 'AUTHOR_ID:7410288473', 'AUTHOR_ID:57192295970', 'AUTHOR_ID:57219429477', 'AUTHOR_ID:57010001200']"
2068,Robert,West,Virginia Polytechnic Institute and State University,Associate Professor,Robert L. West,Robert West,,,,,,,.,,,,,,,,,,,,"['AUTHOR_ID:56949775000', 'AUTHOR_ID:57207365836']"
2069,Robert,Akers,Virginia Polytechnic Institute and State University,Professor and Eminent Scholar,Robert M. Akers,Robert Akers,,,,,,,.,,,,,,,,,,,,['AUTHOR_ID:7102196667']
2070,Robert,Brown,Virginia Polytechnic Institute and State University,Professor and Eminent Scholar,Robert M. Brown,Robert Brown,,,,,,,.,,,,,,,,,,,,"['AUTHOR_ID:7409450669', 'AUTHOR_ID:57213542890', 'AUTHOR_ID:55738128300']"
2071,Robert,Muir,Virginia Polytechnic Institute and State University,Professor,Robert Muir,Robert Muir,,,,,,,.,,,,,,,,,,,,['AUTHOR_ID:57215336161']
2072,Robert,Efird,Virginia Polytechnic Institute and State University,Assistant Professor,Robert O. Efird,Robert Efird,,,,,,,.,,,,,,,,,,,,['AUTHOR_ID:57194864796']
2073,Robert,Broadwater,Virginia Polytechnic Institute and State University,Professor,Robert P. Broadwater,Robert Broadwater,,,,,,,.,,,,,,,,,,,,['AUTHOR_ID:7004147430']
2074,Robert,Rhoads,Virginia Polytechnic Institute and State University,Assistant Professor,Robert P. Rhoads,Robert Rhoads,,,,,,,.,,,,,,,,,,,,['AUTHOR_ID:7102616712']
2075,Robert,Scardina,Virginia Polytechnic Institute and State University,Assistant Professor,Robert P. Scardina,Robert Scardina,,,,,,,.,,,,,,,,,,,,
2076,Robert,Schubert,Virginia Polytechnic Institute and State University,Professor,Robert P. Schubert,Robert Schubert,,,,,,,.,,,,,,,,,,,,"['AUTHOR_ID:7202490249', 'AUTHOR_ID:57212887489', 'AUTHOR_ID:57212887487']"
2077,Robert,Thomas,Virginia Polytechnic Institute and State University,Assistant Professor,Robert Q. Thomas,Robert Thomas,,,,,,,.,,,,,,,,,,,,
2078,Robert,Gilley,Virginia Polytechnic Institute and State University,Associate Professor,Robert S. Gilley,Robert Gilley,,,,,,,.,,,,,,,,,,,,['AUTHOR_ID:6701849949']
2079,Robert,Pleasant,Virginia Polytechnic Institute and State University,Associate Professor,Robert S. Pleasant,Robert Pleasant,,,,,,,.,,,,,,,,,,,,['AUTHOR_ID:7003702923']
2080,Robert,S.,Virginia Polytechnic Institute and State University,Professor,Robert S. Stephens,Robert S. Stephens,,,,,,,.,,,,,,,,,,,,
2081,Robert,Sumichrast,Virginia Polytechnic Institute and State University,Administrative - Professor,Robert T. Sumichrast,Robert Sumichrast,,,,,,,.,,,,,,,,,,,,['AUTHOR_ID:6701865054']
2082,Robert,Grange,Virginia Polytechnic Institute and State University,Associate Professor,Robert W. Grange,Robert Grange,,,,,,,.,,,,,,,,,,,,['AUTHOR_ID:24593529600']
2083,Robert,Hendricks,Virginia Polytechnic Institute and State University,Professor,Robert W. Hendricks,Robert Hendricks,,,,,,,.,,,,,,,,,,,,['AUTHOR_ID:57201749369']
2084,Robert,Mcgwier,Virginia Polytechnic Institute and State University,Research Professor,Robert W. Mcgwier,Robert Mcgwier,,,,,,,.,,,,,,,,,,,,['AUTHOR_ID:36616423700']
2085,Robert,Walters,Virginia Polytechnic Institute and State University,Administrative - Professor,Robert W. Walters,Robert Walters,,,,,,,.,,,,,,,,,,,,"['AUTHOR_ID:7201891355', 'AUTHOR_ID:36875128900']"
2086,Robert,Weiss,Virginia Polytechnic Institute and State University,Assistant Professor,Robert Weiss,Robert Weiss,,,,,,,.,,,,,,,,,,,,['AUTHOR_ID:35754975900']
2087,Robert,Wright,Virginia Polytechnic Institute and State University,Assistant Professor,Robert Wright,Robert Wright,,,,,,,.,,,,,,,,,,,,"['AUTHOR_ID:7403912437', 'AUTHOR_ID:37010121200', 'AUTHOR_ID:55460174700']"
2088,Roberta,Russell,Virginia Polytechnic Institute and State University,Professor,Roberta S. Russell,Roberta Russell,,,,,,,.,,,,,,,,,,,,"['AUTHOR_ID:57191440829', 'AUTHOR_ID:57212719296', 'AUTHOR_ID:57209898915']"
2089,Roberto,Palmieri,Virginia Polytechnic Institute and State University,Research Assistant Professor,Roberto Palmieri,Roberto Palmieri,,,,,,,.,,,,,,,,,,,,['AUTHOR_ID:35847753800']
2090,Roberto,Leon,Virginia Polytechnic Institute and State University,Professor And Eminent Scholar,Roberto T. Leon,Roberto Leon,,,,,,,.,,,,,,,,,,,,"['AUTHOR_ID:35514530400', 'AUTHOR_ID:57219261180']"
2091,Robin,Panneton,Virginia Polytechnic Institute and State University,Associate Professor,Robin K. Panneton,Robin Panneton,,,,,,,.,,,,,,,,,,,,['AUTHOR_ID:8636875000']
2092,Robin,Ott,Virginia Polytechnic Institute and State University,Associate Professor,Robin Ott,Robin Ott,,,,,,,.,,,,,,,,,,,,['AUTHOR_ID:57214229083']
2093,Robin,Queen,Virginia Polytechnic Institute and State University,Associate Professor,Robin Queen,Robin Queen,,,,,,,.,,,,,,,,,,,,['AUTHOR_ID:24503786500']
2094,Robin,White,Virginia Polytechnic Institute and State University,Assistant Professor,Robin White,Robin White,,,,,,,.,,,,,,,,,,,,"['AUTHOR_ID:55937158000', 'AUTHOR_ID:57211705768']"
2095,Roderick,Jensen,Virginia Polytechnic Institute and State University,Professor,Roderick V. Jensen,Roderick Jensen,,,,,,,.,,,,,,,,,,,,['AUTHOR_ID:57203754918']
2096,Rodrigo,Sarlo,Virginia Polytechnic Institute and State University,Assistant Professor,Rodrigo Sarlo,Rodrigo Sarlo,,,,,,,.,,,,,,,,,,,,['AUTHOR_ID:56070674700']
2097,Roe,Yoon,Virginia Polytechnic Institute and State University,Professor and Eminent Scholar,Roe H. Yoon,Roe Yoon,,,,,,,.,,,,,,,,,,,,['AUTHOR_ID:7004448270']
2098,Roger,Avery,Virginia Polytechnic Institute and State University,Administrative - Professor,Roger J. Avery,Roger Avery,,,,,,,.,,,,,,,,,,,,"['AUTHOR_ID:7102735303', 'AUTHOR_ID:57211545175']"
2099,Roger,Simpson,Virginia Polytechnic Institute and State University,Professor and Eminent Scholar,Roger L. Simpson,Roger Simpson,,,,,,,.,,,,,,,,,,,,['AUTHOR_ID:7403403694']
2100,Roger,Youngman,Virginia Polytechnic Institute and State University,Professor,Roger R. Youngman,Roger Youngman,,,,,,,.,,,,,,,,,,,,['AUTHOR_ID:7006517280']
2101,Roger,Schuerch,Virginia Polytechnic Institute and State University,Research Asst Professor AY,Roger Schuerch,Roger Schuerch,,,,,,,.,,,,,,,,,,,,
2102,Rohan,Kalyan,Virginia Polytechnic Institute and State University,Assistant Professor,Rohan Kalyan,Rohan Kalyan,,,,,,,.,,,,,,,,,,,,['AUTHOR_ID:42961524400']
2103,Rolando,Burgos,Virginia Polytechnic Institute and State University,Associate Professor,Rolando Burgos,Rolando Burgos,,,,,,,.,,,,,,,,,,,,['AUTHOR_ID:7004843822']
2104,Rolf,Mueller,Virginia Polytechnic Institute and State University,Associate Professor,Rolf Mueller,Rolf Mueller,,,,,,,.,,,,,,,,,,,,['AUTHOR_ID:55447507800']
